,I,B,B_int,T,V1,V2,V3,V4,V5,V6,V7,V8,Rel_value,multiplier,R1,R2,R3,R4,R5,R6,R7,R8,Ra,Rb,R,MR
42,0.001,-3500.3427490234,-3500,125.000472641,5244.685178837,-5244.577839861,4658.181977813,-4658.150475375,5243.90466442,-5243.936587732,4657.648272329,-4657.462908021,-1.7755e-06,1000000,5.244685178837001,-5.244577839861,4.658181977813,-4.658150475375,5.24390466442,-5.243936587732,4.657648272329,-4.6574629080209995,5.2442760677125,4.6578609083844995,4.9510684880485,-0.2313999398295807
43,0.001,-3000.4442504883,-3000,125.0008506775,5246.104867159,-5246.027666298,4659.909271203,-4659.943475197,5245.341534232,-5245.378405076,4659.393018199,-4659.22431779,-1.778e-06,1000000,5.246104867159,-5.2460276662980005,4.6599092712029995,-4.659943475197,5.245341534232001,-5.245378405076,4.659393018199,-4.65922431779,5.24571311819125,4.65961752059725,4.952665319394249,-0.19922231427618367
44,0.001,-2500.3710083008,-2500,125.0003353119,5247.532563822,-5247.482410466,4661.709945407,-4661.666857513,5246.758198027,-5246.837767545,4661.141565676,-4660.974988722,-1.7758e-06,1000000,5.247532563822,-5.2474824104660005,4.661709945407,-4.661666857513,5.246758198027,-5.246837767545,4.661141565676,-4.660974988722,5.247152734965001,4.6613733393295,4.95426303714725,-0.16702682679849695
45,0.001,-2000.1655395508,-2000,125.0004325867,5249.008693472,-5248.936513113,4663.453874009,-4663.448303726,5248.236925518,-5248.307640981,4662.945498405,-4662.783677642,-1.7695e-06,1000000,5.249008693472001,-5.248936513113,4.663453874009,-4.663448303726,5.248236925518,-5.248307640981,4.662945498405,-4.6627836776419995,5.248622443271,4.6631578384455,4.95589014085825,-0.13423918514275676
46,0.001,-1500.2058349609,-1500,124.9998580933,5250.504131705,-5250.470070333,4665.248748197,-4665.27414263,5249.758986973,-5249.797601915,4664.671281384,-4664.562705307,-1.766e-06,1000000,5.250504131705,-5.250470070333,4.665248748197,-4.6652741426299995,5.249758986973,-5.249797601915,4.664671281384001,-4.6645627053070005,5.2501326977315,4.6649392193795,4.9575359585555,-0.10107443939034402
47,0.001,-1000.3113769531,-1000,125.0005493164,5252.044288059,-5252.008099303,4667.06787974,-4667.017733116,5251.318208464,-5251.291494406,4666.535919825,-4666.385327292,-1.7725e-06,1000000,5.2520442880589995,-5.252008099303,4.667067879739999,-4.667017733116,5.251318208464,-5.251291494406001,4.666535919825,-4.666385327292,5.251665522558,4.66675171499325,4.959208618775625,-0.06736879202532942
48,0.001,-500.6267440796,-500,124.999822998,5253.543391597,-5253.445943405,4668.927736204,-4668.836164976,5252.800868741,-5252.801208931,4668.37679817,-4668.177867331,-1.7572e-06,1000000,5.253543391597,-5.2534459434050005,4.668927736204,-4.668836164976,5.252800868741,-5.252801208930999,4.668376798170001,-4.668177867331,5.2531478531685005,4.6685796416702505,4.960863747419376,-0.03401642210656269
49,0.001,-0.2702224791,0,124.9999824524,5255.118079015,-5255.057897308,4670.792634826,-4670.759095973,5254.356811992,-5254.393911871,4670.217698053,-4670.028244518,-1.7836e-06,1000000,5.255118079015,-5.255057897308,4.670792634825999,-4.670759095973,5.254356811992,-5.2543939118709995,4.670217698053,-4.670028244518,5.2547316750465,4.6704494183425,4.9625905466945,0.0007801771891061491
50,0.001,500.3687591553,500,125.0001976013,5256.736444016,-5256.6700014,4672.718338658,-4672.652160421,5256.026440874,-5256.149220118,4672.192334203,-4672.024877223,-1.7607e-06,1000000,5.256736444016,-5.2566700014,4.672718338658,-4.672652160421,5.256026440874001,-5.256149220118,4.672192334203,-4.6720248772229995,5.256395526602001,4.6723969276262505,4.9643962271141255,0.037166304356802335
51,0.001,1000.5652740479,1000,125.0002902985,5257.508113089,-5257.417052509,4673.266255519,-4673.250360697,5257.140084709,-5257.163077823,4673.400978211,-4673.296358374,-1.7667e-06,1000000,5.257508113089,-5.257417052509,4.673266255519,-4.673250360697001,5.2571400847089995,-5.257163077823,4.673400978210999,-4.673296358374,5.2573070820325,4.67330348820025,4.965305285116375,0.05548466219750626
52,0.001,1500.3544006348,1500,125.0003101349,5254.633134758,-5254.455019689,4669.703837685,-4669.631487922,5254.767382601,-5254.829249393,4670.105946503,-4669.940252392,-1.7712e-06,1000000,5.2546331347579995,-5.254455019689001,4.669703837685,-4.669631487922,5.254767382601,-5.2548292493930004,4.670105946503,-4.669940252392,5.25467119661025,4.6698453811255,4.962258288867875,-0.00591512470410052
53,0.001,2000.5035583496,2000,125.0002090454,5250.389703125,-5250.256975939,4664.712615231,-4664.657483988,5250.860464949,-5250.892736506,4665.097736448,-4665.025703185,-1.776e-06,1000000,5.250389703125,-5.250256975939,4.664712615231,-4.664657483988001,5.250860464949,-5.250892736506,4.665097736448001,-4.665025703185,5.25059997012975,4.664873384713001,4.957736677421376,-0.0970297689717419
54,0.001,2500.3431884766,2500,125.0005893707,5247.463309071,-5247.419282829,4661.294490917,-4661.270084751,5248.101599103,-5248.155681956,4661.709727864,-4661.560764335,-1.7798e-06,1000000,5.247463309071001,-5.247419282829,4.661294490917,-4.661270084750999,5.248101599103,-5.248155681956,4.661709727864,-4.661560764335,5.24778496823975,4.66145876696675,4.95462186760325,-0.15979606189582635
55,0.001,3000.5854248047,3000,125.0003284454,5245.653159938,-5245.569400866,4658.933559006,-4658.900166123,5246.238543885,-5246.304992642,4659.41801917,-4659.197637864,-1.7724e-06,1000000,5.245653159938,-5.2455694008660005,4.658933559006,-4.658900166123001,5.246238543885,-5.246304992642,4.659418019169999,-4.6591976378640005,5.24594152433275,4.65911234554075,4.95252693493675,-0.2020108888289545
56,0.001,3500.3590698242,3500,125.0003684998,5244.119227457,-5244.023038376,4657.029358525,-4656.975100132,5244.7057394,-5244.71024452,4657.549163946,-4657.370706596,-1.7804e-06,1000000,5.244119227457,-5.244023038376,4.657029358525,-4.656975100132,5.2447057394000005,-5.24471024452,4.657549163945999,-4.657370706596,5.244389562438251,4.65723108229975,4.950810322369,-0.2366022165683234
57,0.001,4000.5131469727,4000,125.0002571106,5242.64836075,-5242.608842222,4655.26080571,-4655.192141496,5243.238327838,-5243.310786377,4655.782132427,-4655.60504279,-1.7793e-06,1000000,5.2426483607500005,-5.242608842222,4.655260805709999,-4.655192141495999,5.243238327838,-5.243310786377,4.6557821324269995,-4.6556050427899995,5.242951579296751,4.65546003060575,4.94920580495125,-0.2689347235670633
58,0.001,4500.5668945313,4500,125.0009304047,5241.218771445,-5241.184376124,4653.460851343,-4653.393307553,5241.838969139,-5241.872948561,4654.01258246,-4653.888476792,-1.7793e-06,1000000,5.241218771445,-5.241184376124,4.6534608513430005,-4.653393307553,5.241838969139001,-5.241872948561,4.65401258246,-4.653888476792,5.24152876631725,4.6536888045369995,4.947608785427125,-0.30111614108841456
59,0.001,5000.1755126953,5000,125.0004043579,5239.774689234,-5239.699022513,4651.729041572,-4651.699173646,5240.450268562,-5240.429831908,4652.275611798,-4652.100053399,-1.7737e-06,1000000,5.239774689234,-5.239699022513,4.651729041572,-4.6516991736460005,5.240450268562,-5.240429831908,4.652275611798,-4.652100053399,5.24008845305425,4.6519509701037505,4.946019711579,-0.3331374459042059
60,0.001,5000.1870117188,5000,125.0003871918,5239.801131837,-5239.71272027,4651.71021282,-4651.658740076,5240.437583297,-5240.453551732,4652.27549564,-4652.107216564,-1.7787e-06,1000000,5.239801131837,-5.23971272027,4.65171021282,-4.651658740076,5.240437583297,-5.240453551732,4.6522754956400005,-4.652107216564,5.240101246784,4.651937916275,4.9460195815295,-0.3331400665216728
61,0.001,6000.1970458984,6000,125.0002494812,5237.046446524,-5236.964605308,4648.307907409,-4648.27180664,5237.606570884,-5237.687737388,4648.851865894,-4648.708032813,-1.7797e-06,1000000,5.237046446524,-5.236964605308,4.648307907409,-4.64827180664,5.237606570884,-5.237687737388,4.648851865894001,-4.6487080328129995,5.237326340026,4.648534903189001,4.9429306216075,-0.39538546017837606
62,0.001,7000.4136962891,7000,125.0000980377,5234.216537377,-5234.110699668,4644.865530225,-4644.900351496,5234.873596833,-5234.900204775,4645.503240617,-4645.363216437,-1.7754e-06,1000000,5.234216537377001,-5.234110699668,4.644865530225,-4.644900351496,5.234873596833,-5.234900204775,4.645503240617001,-4.6453632164370005,5.2345252596632506,4.64515808469375,4.939841672178501,-0.457630642391439
63,0.001,8000.278515625,8000,125.00038414,5231.532943635,-5231.456809375,4641.604652501,-4641.544894905,5232.118128275,-5232.208947531,4642.170891994,-4641.988315162,-1.7671e-06,1000000,5.231532943635,-5.2314568093750005,4.641604652501,-4.6415448949049996,5.232118128275,-5.232208947531,4.642170891994001,-4.641988315162,5.231829207204,4.6418271886405,4.9368281979222495,-0.5183549302071506
