T,T_actual,H,I,V1,V2,V3,V4,V5,V6,V7,V8
227,226.9650024,-0.032655284,0.001,50.4989394,-49.92797851,23.26173493,-23.21071199,51.31445607,-49.0411165,23.75100714,-22.74180161
226,225.9656647,0.009796586,0.001,50.44799246,-49.77509047,23.24133537,-23.25147249,50.91684556,-48.82705155,23.97523005,-22.49713359
225,224.9660774,-0.038369959,0.001,50.49891863,-49.4998666,23.12921102,-23.01700153,51.05954413,-48.20527431,24.10775625,-22.36460891
224,223.96567,-0.02694061,0.001,50.2848588,-49.37746801,23.27190078,-23.07817276,50.78433118,-48.33781318,23.8121776,-22.37482728
223,222.9659897,-0.038369959,0.001,50.11155934,-49.11243824,23.01707568,-22.8946809,50.53971808,-48.23577978,23.47576555,-22.38502127
222,221.9651146,-0.035920813,0.001,49.99941319,-49.1634142,22.89475124,-22.86411605,50.15237499,-48.27662215,23.55733363,-22.22191514
221,220.9660034,-0.013062114,0.001,49.85675476,-48.87798083,22.9049391,-22.9558682,50.26448333,-47.86885245,23.58790543,-22.03844887
220,219.9657646,-0.044084634,0.001,49.86692476,-48.70473913,22.88459034,-22.74181062,50.16255893,-47.46114783,23.63887414,-22.0996118
219,218.9656029,-0.049799309,0.001,49.68347288,-48.63336543,22.81321402,-22.68062853,49.79558665,-47.39996248,23.36365595,-22.03842926
218,217.9651787,-0.01959317,0.001,49.61211991,-48.58242221,22.87439168,-22.72141631,49.91790522,-47.04321097,23.29230803,-21.99766243
217,216.9655655,-0.040819105,0.001,49.42863107,-48.59263568,22.60935042,-22.66024944,49.73437839,-47.05339156,23.28211894,-21.87534086
216,215.9660873,-0.012245731,0.001,49.20437988,-48.67414909,22.58898037,-22.46656706,49.65285585,-46.686414,23.32286729,-21.89572708
215,214.9659378,-0.022042317,0.001,49.04122679,-48.10328238,22.55835092,-22.52771503,49.47955695,-46.5029697,23.32285671,-21.60011998
214,213.9656853,-0.01551126,0.001,49.03105676,-47.88925192,22.57874083,-22.47676581,49.26549365,-46.56407403,23.16996074,-21.65107417
